Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,female_parl_ratio,female_labor_ratio
Asia-Pacific,Afghanistan,2020,39068979.0,0.019379199,99.86196899,0.008456565,0.020000853,0.000128296,2.56593e-05,0.090042546,1,4,Afghanistan,2020,AFG,39068977.0,71417706295.0,0.061,0.002,11.119,0.719,6.909,16.717,-3.346,-16.677,0.428,0.234,356.345,0.285,0.156,237.012,3.635,0.093,,,,2.504,201.254,521.548,48.672,5.956,19.927,813.723,124.195,,1200.742,0.657,0.0,0.0,0.154,0.004,0.388,0.915,5.598,0.143,15.25,0.39,4.565,0.117,7.269,0.186,,,46.912,0.004,0.032,0.042,0.025,0.006,0.012,0.02,0.006,0.032,0.008,0.092,0.021,,0.0,0.002,0.124,0.066,,0.079,0.001,0.001,0.001,0.0,35.765,15.155,,,27.0161290322581,16.474
Europe,Albania,2020,2871953.5,17.81565857,74.50722504,7.652887344,0.000158218,0.000707935,0.010049576,0.013315931,1,8,Albania,2020,ALB,2871950.0,32130726850.0,1.322,0.46,4.865,-0.075,-1.528,4.859,-0.368,-7.038,1.692,0.151,230.05,1.694,0.151,230.356,0.572,0.199,5.973,2.08,0.186,23.391,289.441,530.725,67.783,0.136,16.28,394.24,181.851,,7353.772,0.657,0.0,0.0,0.095,0.033,2.051,2.891,-0.006,-0.002,2.631,0.916,1.026,0.357,2.876,1.001,,,21.12,0.081,0.014,0.012,0.004,0.054,0.017,0.021,0.009,0.001,0.007,0.044,0.031,,0.0,0.001,-0.0,0.026,,0.027,0.0,0.0,0.0,0.0,8.303,5.892,1.108,22.782,29.5081967213115,52.252
Middle East-North Africa,Algeria,2020,44042091.0,0.294989556,98.38234711,1.266207099,0.015000784,0.0,0.000129986,0.041328549,1,12,Algeria,2020,DZA,44042094.0,559819958223.0,11.879,0.27,171.139,-11.286,-6.187,172.739,-12.163,-6.578,3.922,0.309,266.203,3.886,0.306,263.737,0.575,0.013,,,,202.926,4700.704,5756.691,116.707,720.165,2061.032,1295.536,1599.874,,14733.604,1.159,17.53,0.398,87.026,1.976,5.148,5.434,1.601,0.036,60.409,1.372,7.979,0.181,54.13,1.229,,,648.899,0.731,0.487,0.435,0.004,0.467,0.277,0.223,0.015,3.89,0.841,0.146,0.271,,4.382,1.157,0.035,0.495,,0.325,0.003,0.002,0.005,0.0,239.32,226.746,,,25.7575757575758,13.206
Sub-Saharan Africa,Angola,2020,33451132.5,93.04470825,0.255656004,6.114808083,0.002393168,0.009273528,0.001196584,0.571967721,1,24,Angola,2020,AGO,33451139.0,152308692850.0,1.085,0.032,16.549,-5.661,-25.487,70.412,-13.89,-16.476,2.105,0.462,904.798,0.495,0.109,212.659,,,,,,24.89,655.272,5085.894,,265.467,43.11,7218.879,320.205,,2326.404,0.511,3.509,0.105,2.488,0.074,1.4,4.734,53.863,1.61,47.14,1.409,17.067,0.51,9.468,0.283,,,77.821,0.067,0.047,0.177,,0.057,0.039,0.197,,1.434,0.018,0.813,0.054,,0.877,0.033,1.193,0.087,,0.352,0.002,0.003,0.006,0.0,158.351,46.815,,,30.0,71.342
Latin America-Caribbean,Argentina,2020,45191964.5,88.45394135,0.929196358,9.232909203,0.031062234,0.002573854,0.384978116,0.96533829,1,32,Argentina,2020,ARG,45191960.0,735814250460.0,3.642,0.081,164.613,-15.815,-8.765,293.657,-48.55,-14.187,6.498,0.399,339.892,3.643,0.224,190.53,3.224,0.071,160.073,3.542,0.218,200.498,8428.105,21701.668,528.962,164.457,2874.992,13341.593,4659.197,,19117.824,1.174,1.987,0.044,89.085,1.971,4.202,8.799,129.045,2.855,115.126,2.547,48.156,1.066,66.675,1.475,,,863.972,0.224,0.468,0.74,0.023,0.462,0.496,0.841,0.067,0.888,1.173,1.502,0.79,,0.497,1.185,2.857,0.61,,0.982,0.006,0.009,0.016,0.001,397.663,189.913,-4.54,-2.758,40.8560311284047,46.486
Asia-Pacific,Armenia,2020,2890892.5,97.31269073,0.266757637,1.177880645,0.010692867,0.007485007,0.003564289,1.220932841,1,51,Armenia,2020,ARM,2890893.0,33378378959.0,0.413,0.143,6.795,0.511,8.133,6.953,0.462,7.115,2.405,0.208,155.417,2.351,0.204,151.89,0.029,0.01,8.55,2.958,0.256,14.714,376.78,482.384,43.91,2.156,157.943,111.32,158.057,,15475.302,1.34,0.0,0.0,4.901,1.695,2.721,3.378,0.158,0.055,1.633,0.565,0.778,0.269,1.452,0.502,,,44.737,0.025,0.019,0.018,0.0,0.034,0.022,0.019,0.006,0.012,0.064,0.013,0.027,,0.0,0.065,0.003,0.013,,0.02,0.0,0.0,0.0,0.0,9.764,7.866,1.755,25.825,23.4848484848485,54.317
Latin America-Caribbean,Aruba,2020,107400.5,81.42006683,0.33776018,5.873986721,0.544169188,0.281466812,0.354266971,11.18828392,1,533,Aruba,2020,ABW,107411.0,,0.0,0.0,0.821,-0.011,-1.322,,,,,,,7.641,,179.662,,,,,,0.0,72.212,,,0.0,,,72.212,,42530.234,,0.0,0.0,,,7.906,7.921,,,0.023,0.21,0.007,0.07,0.821,7.641,,,4.568,0.0,0.002,,,0.0,0.004,,,0.0,,,0.012,,0.0,,,0.008,,0.002,0.0,0.0,0.0,0.0,0.851,0.849,,,,
Asia-Pacific,Australia,2020,25743791.0,46.75042343,3.503147364,42.34402084,2.611551523,2.963423014,0.420412093,1.40702188,1,36,Australia,2020,AUS,25743787.0,1232259790388.0,2.82,0.11,398.547,-16.378,-3.947,492.498,38.393,8.455,19.131,0.4,310.644,15.481,0.323,251.384,156.622,6.084,374.332,14.541,0.304,191.375,18496.072,32280.994,9981.346,280.212,2068.003,13785.716,5865.485,109.65,61584.258,1.287,17.209,0.668,83.378,3.239,18.658,24.779,93.951,3.649,135.224,5.253,54.751,2.127,134.777,5.235,0.145,3.741,1585.412,0.174,1.134,1.241,1.098,0.441,1.089,1.25,1.267,1.514,0.844,1.552,0.994,0.833,4.302,1.109,2.08,1.233,0.904,1.567,0.008,0.014,0.025,0.003,637.903,480.323,-24.215,-6.076,30.4635761589404,60.136
Europe,Austria,2020,8921405.0,68.19069672,8.302758217,22.39739227,0.296996266,0.11324697,0.060347393,0.638559401,1,40,Austria,2020,AUT,8921402.0,363281092036.0,1.821,0.204,62.18,-5.771,-8.493,61.379,-5.877,-8.738,6.88,0.169,153.393,6.97,0.171,155.394,11.371,1.275,78.804,8.833,0.217,137.898,5509.181,5730.893,2732.877,4.655,722.768,250.035,1875.482,35.501,44852.156,1.101,0.109,0.012,16.959,1.901,7.579,8.341,-0.801,-0.09,9.103,1.02,3.784,0.424,30.779,3.45,0.128,1.14,400.144,0.112,0.177,0.155,0.08,0.317,0.324,0.222,0.347,0.025,0.295,0.028,0.318,0.27,0.027,0.225,-0.018,0.282,0.275,0.197,0.0,0.003,0.003,0.0,74.417,67.613,16.624,26.735,39.344262295082,55.224
Asia-Pacific,Azerbaijan,2020,10181730.0,0.419673085,94.72725677,4.759952545,0.002041818,0.006806061,0.084269956,0.0,1,31,Azerbaijan,2020,AZE,10181736.0,158697520949.0,1.018,0.1,36.237,-1.515,-4.014,39.523,-1.98,-4.77,3.882,0.249,213.722,3.559,0.228,195.952,0.004,0.0,37.97,3.729,0.239,30.749,2475.086,3054.545,24.259,14.669,1038.006,602.852,1367.404,,18162.768,1.165,0.254,0.025,24.333,2.39,4.383,5.331,3.286,0.323,12.078,1.186,3.484,0.342,10.629,1.044,,,184.929,0.063,0.103,0.1,0.0,0.071,0.146,0.118,0.003,0.079,0.423,0.068,0.232,,0.064,0.324,0.073,0.097,,0.119,0.0,0.001,0.002,0.0,54.282,44.631,1.733,4.783,17.3553719008264,64.382
