Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
World,All World,2010,7020588096,30.58475113,23.86979103,23.29216576,4.88203001,14.97799492,0.198186591,2.195080042,3,900
World,All World,2020,7885807101,28.77144623,25.64849091,24.16189003,4.111000538,14.93646812,0.187420741,2.183285475,3,900
Asia-Pacific,All Asia-Pacific,2010,4128253668,6.138702869,24.76325798,33.01929855,8.146677017,25.27858353,0.004394813,2.649086714,2,90001
Asia-Pacific,All Asia-Pacific,2020,4544798237,5.915315628,26.13237572,32.84532547,6.955449104,25.67131996,0.004071864,2.47614193,2,90001
Europe,All Europe,2010,741696839.5,74.6439209,5.295825481,18.70544624,0.271245599,0.222803295,0.187239438,0.673520207,2,90002
Europe,All Europe,2020,752957405.5,67.0872879,6.043626785,25.27668762,0.337282568,0.285890818,0.169624731,0.79960233,2,90002
Latin America-Caribbean,All Latin America-Caribbean,2010,588473795,90.10193634,0.120610297,7.84071207,0.057280544,0.112843089,0.07587067,1.690745592,2,90003
Latin America-Caribbean,All Latin America-Caribbean,2020,646240245,84.63140869,0.1165746,11.93833637,0.050572522,0.107598066,0.060482305,3.095029831,2,90003
Middle East-North Africa,All Middle East-North Africa,2010,355632195.5,3.318748951,93.96702576,0.370201856,0.018161742,0.56061095,1.621728301,0.143522158,2,90004
Middle East-North Africa,All Middle East-North Africa,2020,439686888,2.938188553,94.18347168,0.422702849,0.020175267,0.733124197,1.543917775,0.158422962,2,90004
North America,All North America,2010,345259688.5,77.18649292,1.124767542,17.18774986,1.147502303,0.675316036,1.751526475,0.926642179,2,90005
North America,All North America,2020,377608060.5,62.92947388,1.565952539,30.22527695,1.336791396,0.958019257,1.611756086,1.372728109,2,90005
Sub-Saharan Africa,All Sub-Saharan Africa,2010,861271909,61.72892761,31.98299217,3.087237358,0.006547061,0.155277565,0.009579205,3.029438257,2,90006
Sub-Saharan Africa,All Sub-Saharan Africa,2020,1124516265,62.01911545,32.78226471,2.591466904,0.006358556,0.130050495,0.004623499,2.466121435,2,90006
Asia-Pacific,Afghanistan,2010,28284088.5,0.100224391,99.74918365,0.00865241,0.01998632,0.00035474,0.000106422,0.121494696,1,4
Asia-Pacific,Afghanistan,2020,39068979,0.019379199,99.86196899,0.008456565,0.020000853,0.000128296,2.56593E-05,0.090042546,1,4
Europe,Albania,2010,2928721.5,20.28347015,70.1529007,9.537428856,0,0,0.009593685,0.016603233,1,8
Europe,Albania,2020,2871953.5,17.81565857,74.50722504,7.652887344,0.000158218,0.000707935,0.010049576,0.013315931,1,8
Middle East-North Africa,Algeria,2010,36188235.5,0.290679306,98.57145691,1.08472383,0.014109504,0,0.000151956,0.038876127,1,12
Middle East-North Africa,Algeria,2020,44042091,0.294989556,98.38234711,1.266207099,0.015000784,0,0.000129986,0.041328549,1,12
Sub-Saharan Africa,Angola,2010,23294825,91.57467651,0.166905507,4.476850033,0.00385205,0.013696176,0.002140027,3.761880159,1,24
Sub-Saharan Africa,Angola,2020,33451132.5,93.04470825,0.255656004,6.114808083,0.002393168,0.009273528,0.001196584,0.571967721,1,24
Latin America-Caribbean,Argentina,2010,41288693.5,88.07093048,1.000082135,9.727508545,0.029148331,0.002481744,0.442821056,0.727030873,1,32
Latin America-Caribbean,Argentina,2020,45191964.5,88.45394135,0.929196358,9.232909203,0.031062234,0.002573854,0.384978116,0.96533829,1,32
Asia-Pacific,Armenia,2010,2931078,97.5324707,0.023529492,1.206142187,0.006788191,0.004751734,0.003394095,1.222921848,1,51
Asia-Pacific,Armenia,2020,2890892.5,97.31269073,0.266757637,1.177880645,0.010692867,0.007485007,0.003564289,1.220932841,1,51
Latin America-Caribbean,Aruba,2010,100113.5001,82.22212982,0.179387391,5.612252235,0.478366375,0.249149159,0.352541417,10.9061718,1,533
Latin America-Caribbean,Aruba,2020,107400.5,81.42006683,0.33776018,5.873986721,0.544169188,0.281466812,0.354266971,11.18828392,1,533
