Model,Variable,Coefficient,p_value,CI_lower,CI_upper,R2,N
S1: Muslim % only,Muslims,-0.0018566097856804796,0.31340466680385437,-0.0054662465742399795,0.00175302700287902,0.00719722474791662,156
S2: % + GDPpc,Muslims,0.0025092507564703588,0.003928514000444933,0.0008038747036827874,0.004214626809257931,0.7854194661109031,156
S3: % + GDPpc + Energy,Muslims,0.001479462376331548,0.03865818943744108,7.715878304637527e-05,0.002881765969616721,0.841410246689663,156
S4: % + GDP_total + Pop,Muslims,0.00252738834939185,0.004224033406139528,0.0007959254736597142,0.0042588512251239856,0.7854886554189251,156
S5: % + GDP_total + Pop + Energy,Muslims,0.0013700431386590496,0.05480609504887733,-2.8218069228985818e-05,0.002768304346547085,0.8427082074719294,156
S6: % + GDPpc + Energy + Region FE,Muslims,-0.00034936434013261284,0.7109710421682062,-0.0021972589290234204,0.0014985302487581947,0.8552829829096175,156
S7: Total CO2 + % + GDPpc + Energy,Muslims,0.008672512989157229,0.009598218252097442,0.0021095939748055487,0.015235432003508909,0.3345952859578092,156
S8: Total CO2 + % + GDP_total + Pop + Energy,Muslims,0.0028845852802757005,0.017661173489448928,0.0005017254462487577,0.005267445114302643,0.9296101652474255,156
S9: Total CO2 + Muslim_pop + GDP_total + Pop + Energy,Muslim_pop,0.0009682652739891884,0.9546222297628303,-0.03238244093600727,0.03431897148398565,0.9270475957717874,156
S10: Total CO2 + % + GDPpc + Energy + Region FE,Muslims,0.0011010112205156845,0.7938795903905577,-0.007158229782435398,0.009360252223466767,0.492449292164562,156
